time,data
65574.111,-0.001
65574.242,0.014
917663.9390000036,0.055
2556270.0659999964,0.006
4326019.374000005,0.167
4457139.736000008,0.134
5965112.217000088,0.152
8128144.6580001665,-0.042
9307883.965999974,0.149
11012025.678999707,-0.151
12257634.059999423,0.000
13765032.145999175,nan
